FIRETYPE,SEASON,FIRE_NO,NAME,START_DATE,STRTDATIT,TREAT_TYPE,FIREKEY,DSE_ID,CFA_ID,AREA_HA,latitude,longitude
BUSHFIRE,1981,999,,,19810101,FIRE,W198199999,,,33076.4911,-37.31862128,149.3599772
BUSHFIRE,1991,999,,,19910101,FIRE,W199101999,,,1226.2173,-37.60759965,147.4508518
BUSHFIRE,1985,14,,,19850101,FIRE,W19850714,,,0.5918,-34.60585281,141.7174714
BUSHFIRE,1991,999,,,19910101,FIRE,W199101999,,,445.6252,-37.36118551,147.3437529
BUSHFIRE,2006,28,,1/27/2006,20060127,FIRE,W20060828,,,0.1004,-37.64126916,143.680303
BUSHFIRE,2002,33,,3/24/2002,20020324,FIRE,W200217033,,,0.0564,-37.07410422,142.0746969
BUSHFIRE,2015,8,MURRINDINDI - MT DESPAIR,12/15/2014,20141215,FIRE,W201538008,858869,,4.5989,-37.40436352,145.5455436
BUSHFIRE,2020,18,WIMMERA 18 - LITTLE DESERT - KOONIK TK,12/21/2019,20191221,FIRE,W202013018,969875,,1477.2638,-36.59544936,141.4889885
BUSHFIRE,2016,36,WYPERFELD - EUCY TRACK,12/12/2015,20151212,FIRE,W20162236,,,0,-35.6230631,142.2605341
BUSHFIRE,2016,36,WYPERFELD - EUCY TRACK,12/12/2015,20151212,FIRE,W20162236,,,0,-35.62306135,142.2605234
BUSHFIRE,2016,36,WYPERFELD - EUCY TRACK,12/12/2015,20151212,FIRE,W20162236,,,0,-35.62304845,142.2605471
BUSHFIRE,2017,31,STURT HIGHWAY - MORKALLA,2/17/2017,20170217,FIRE,W201722031,919905,,0,-34.24241484,141.1195681
BUSHFIRE,2017,31,STURT HIGHWAY - MORKALLA,2/17/2017,20170217,FIRE,W201722031,919905,,0,-34.24240259,141.1195695
BUSHFIRE,2017,31,STURT HIGHWAY - MORKALLA,2/17/2017,20170217,FIRE,W201722031,919905,,0.0001,-34.24238762,141.1195817
BUSHFIRE,2006,29,,,20060101,FIRE,W20060829,,,104.3993,-37.77930881,144.2246551
