,ROW,SCHOOL_NO,Fire_Risk_Category_2023_24,Facility_Name,Education_Sector,Facility_Address,Town_Suburb,Local-Government_Area,Fire_Weather_District,X,Y
430,431,2840,CAT 4,Tanjil South Primary School,Government,253 Moe-Willow Grove Road,Tanjil South,Baw Baw,West and South Gippsland,146.2524,-38.11887
431,432,3215,CAT 4,Eagle Point Primary School,Government,43 School Road,Eagle Point,East Gippsland,East Gippsland,147.68022,-37.89245
432,433,6217,CAT 4,East Loddon P-12 College,Government,Dingee Road,Dingee,Loddon,Northern Country,144.14145,-36.37222
433,434,5432,CAT 4,Edenhope College,Government,40-48 Lake Street,Edenhope,West Wimmera,Wimmera,141.29856,-37.03343
434,435,3931,CAT 4,Eildon Primary School,Government,45 High Street,Eildon,Murrindindi,North Central,145.90676,-37.23397
435,436,7082,CAT 4,Elevation Secondary College,Government,199 Elevation Boulevard,Craigieburn,Hume,Central,144.89025,-37.59829
436,437,7805,CAT 4,Eltham High School,Government,30-60 Withers Way,Eltham,Nillumbik,Central,145.14172,-37.72444
437,438,7820,CAT 4,Euroa Secondary College,Government,26 Campbell St,Euroa,Strathbogie,Northern Country,145.5648,-36.7582
438,439,5399,CAT 4,Everton Primary School,Government,2157 Great Alpine Road,Everton,Wangaratta,North East,146.54454,-36.43532
439,440,3423,CAT 4,Exford Primary School,Government,1137 Exford Road,Exford,Melton,Central,144.55879,-37.74529
440,441,2966,CAT 4,Thorpdale Primary School,Government,19 Robinson Street,Thorpdale,Baw Baw,West and South Gippsland,146.17879,-38.28846
441,442,3028,CAT 4,Fish Creek and District Primary School,Government,10 Foster Road,Fish Creek,South Gippsland,West and South Gippsland,146.08442,-38.69475
442,443,1876,CAT 4,Flinders Christian Community College - Main Campus,Independent,155 Mornington - Tyabb Road,Tyabb,Mornington Peninsula,Central,145.16798,-38.26212
443,444,2724,CAT 4,Garfield Primary School,Government,84 Railway Avenue,Garfield,Cardinia,Central,145.67415,-38.09056
444,445,2000,CAT 4,Geelong Baptist College,Independent,590 Anakie Road,Lovely Banks,Greater Geelong,Central,144.33029,-38.06714
445,446,3971,CAT 4,Girgarre Primary School,Government,528 Winter Road,Girgarre,Campaspe,Northern Country,144.97376,-36.39811
446,447,2062,CAT 4,Community College Gippsland Ltd| ECG Community College,Independent,71 Warragul-Korumburra Road,Warragul,Baw Baw,West and South Gippsland,145.1005,-37.70357
447,448,2226,CAT 4,Glowrey Catholic Primary School,Catholic,10 Baltrum Drive,Wollert,Whittlesea,Central,145.03178,-37.61582
