,ROW,SCHOOL_NO,Fire_Risk_Category_2023_24,Facility_Name,Education_Sector,Facility_Address,Town_Suburb,Local-Government_Area,Fire_Weather_District,X,Y
0,1,5566,CAT 2,Aireys Inlet Primary School,Government,13 Anderson Street,Aireys Inlet,Surf Coast,Central,144.10997,-38.45737
1,2,2101,CAT 2,Alice Miller School,Independent,110 Bailey Road,Macedon,Macedon Ranges,Central,144.53319,-37.4457
2,3,1637,CAT 3,Amphitheatre Primary School,Government,16 School Road,Amphitheatre,Pyrenees,South West,143.39924,-37.18413
3,4,1910,CAT 3,Anakie Primary School,Government,2125-2135 Ballan Road,Anakie,Greater Geelong,Central,144.25511,-37.91267
4,5,5104,CAT 3,Andersons Creek Primary School,Government,36-42 Drysdale Road,Warrandyte,Manningham,Central,145.20768,-37.74822
5,6,4332,CAT 2,Anglesea Primary School,Government,85 Camp Road,Anglesea,Surf Coast,Central,144.19184,-38.39678
6,7,4844,CAT 3,Antonio Park Primary School,Government,631-639 Whitehorse Road,Mitcham,Whitehorse,Central,145.206,-37.81619
7,8,1208,CAT 3,Apsley Primary School,Government,46 Laidlaw Street,Apsley,West Wimmera,Wimmera,141.08249,-36.97371
8,9,4995,CAT 3,Ararat North Primary School,Government,66 Blake Street,Ararat,Ararat,South West,142.94005,-37.27465
9,10,1666,CAT 3,Arthurs Creek Primary School,Government,900 Arthurs Creek Road,Arthurs Creek,Nillumbik,Central,145.2025,-37.579
10,11,8,CAT 3,Avenel Primary School,Government,40 Anderson Street,Avenel,Strathbogie,Northern Country,145.23472,-36.90137
11,12,3309,CAT 3,Badger Creek Primary School,Government,Badger Creek Rd,Healesville,Yarra Ranges,Central,145.53324,-37.68134
12,13,1984,CAT 3,Ballarat Steiner School,Independent,244 Moss Avenue,Mt Helen,Ballarat,Central,143.8622,-37.64076
13,14,3787,CAT 3,Balliang East Primary School,Government,4 School Road,Balliang East,Moorabool,Central,144.41535,-37.79498
14,15,1698,CAT 3,Balnarring Primary School,Government,1 Civic Court,Balnarring,Mornington Peninsula,Central,145.12282,-38.37672
15,16,1489,CAT 3,Barnawartha Primary School,Government,11-17 Stanely Street,Barnawartha,Indigo,North East,146.67589,-36.10131
16,17,5195,CAT 3,Bass Valley Primary School,Government,70 Corinella Road,Corinella,Bass Coast,Central,145.48877,-38.43123
17,18,1837,CAT 3,Bayside Christian College,Independent,120-128 Robinsons Road,Langwarrin South,Frankston,Central,145.16302,-38.17863
18,19,2560,CAT 2,Beaconsfield Upper Primary School,Government,40 Stoney Creek Road,Beaconsfield Upper,Cardinia,Central,145.41476,-37.9954
19,20,749,CAT 3,Bealiba Primary School,Government,9 Grant Street,Bealiba,Central Goldfields,North Central,143.5519,-36.78994
20,21,2042,CAT 3,Beechworth Montessori School,Independent,42 Gilchrist Ave,Beechworth,Indigo,North East,146.69353,-36.36669
21,22,1560,CAT 3,Beechworth Primary School,Government,17 Junction Road,Beechworth,Indigo,North East,146.69357,-36.35543
22,23,7575,CAT 3,Beechworth Secondary College,Government,85 Balaclava Road,Beechworth,Indigo,North East,146.69076,-36.34722
23,24,1864,CAT 3,Belgrave Heights Christian School,Independent,20 Wattle Valley Road,Belgrave Heights,Yarra Ranges,Central,145.34623,-37.9189
24,25,3551,CAT 3,Belgrave South Primary School,Government,175 Colby Drive,Belgrave South,Yarra Ranges,Central,145.35792,-37.9312
25,26,319,CAT 3,Bellbrae Primary School,Government,50 School Road,Bellbrae,Surf Coast,Central,144.263,-38.33364
26,27,1883,CAT 3,Bethanga Primary School,Government,5 Beardmore Street,Bethanga,Towong,North East,147.09576,-36.12064
27,28,3109,CAT 3,Beulah Primary School,Government,Henty Highway,Beulah,Yarriambiack,Mallee,142.41826,-35.94494
28,29,1551,CAT 3,Big Hill Primary School,Government,5644 Calder Highway,Big Hill,Greater Bendigo,Northern Country,144.24247,-36.83058
29,30,5193,CAT 3,Billanook Primary School,Government,270 Sheffield Road,Montrose,Yarra Ranges,Central,145.33925,-37.82495
30,31,5048,CAT 3,Birmingham Primary School,Government,43-49 Francis Crescent,Mount Evelyn,Yarra Ranges,Central,145.36852,-37.77958
31,32,4860,CAT 3,Blackburn Lake Primary School,Government,12 - 14 Florence Street,Blackburn,Whitehorse,Central,145.1661,-37.8276
32,33,1324,CAT 3,Bolwarra Primary School,Government,249 Princes Highway,Bolwarra,Glenelg,South West,141.6138,-38.28161
33,34,3612,CAT 3,Bona Vista Primary School,Government,520 Bona Vista Road,Bona Vista,Baw Baw,Central,145.95991,-38.21052
34,35,2617,CAT 3,Boolarra Primary School,Government,Tarwin Street,Boolarra,Latrobe,East Gippsland,146.26887,-38.38287
35,36,8882,CAT 3,Boort District P-12 School,Government,9 - 27 Malone Street,Boort,Loddon,Northern Country,143.72695,-36.11022
36,37,776,CAT 3,Bright P-12 College,Government,46 Bakers Gully Road,Bright,Alpine,North East,146.96093,-36.7331
37,38,1141,CAT 3,Bruthen Primary School,Government,31 Great Alpine Road,Bruthen,East Gippsland,East Gippsland,147.83349,-37.70421
38,39,2072,CAT 3,Buangor Primary School,Government,26 School Road,Buangor,Ararat,South West,143.17502,-37.36404
39,40,1905,CAT 3,Buchan Primary School,Government,4 Dalley Street,Buchan,East Gippsland,East Gippsland,148.18082,-37.49774
40,41,1288,CAT 1,Bullarto Primary School,Government,131 Bullarto South Road,Bullarto,Hepburn,Central,144.21822,-37.40538
41,42,1270,CAT 3,Buninyong Primary School - Scotsburn Primary School,Government,6859 Midland Highway,Scotsburn,Ballarat,Central,143.88625,-37.65423
42,43,2229,CAT 3,Bunyip Primary School,Government,1290 Nar Nar Goon - Longwarry Road,Bunyip,Cardinia,Central,145.71251,-38.09884
43,44,1669,CAT 3,Buxton Primary School,Government,2208 Maroondah Highway,Buxton,Murrindindi,North Central,145.70905,-37.4214
44,45,123,CAT 3,California Gully Primary School,Government,4-14 Staley Street,California Gully,Greater Bendigo,Northern Country,144.24986,-36.73321
45,46,3920,CAT 2,Cann River P-12 College,Government,20-24 Tamboon Road,Cann River,East Gippsland,East Gippsland,149.15302,-37.5697
46,47,1030,CAT 3,Carisbrook Primary School,Government,2  Camp Street,Carisbrook,Central Goldfields,North Central,143.81266,-37.05206
47,48,3497,CAT 3,Carlisle River Primary School,Government,49 Moomowroong Road,Carlisle River,Colac-Otway,South West,143.39503,-38.56393
48,49,8824,CAT 3,Castlemaine Secondary College - Junior Campus,Government,Blakeley Rd,Castlemaine,Mount Alexander,North Central,144.22755,-37.05044
49,50,1932,CAT 3,Castlemaine Steiner School,Independent,11 Rilens Rd,Muckleford,Mount Alexander,North Central,144.15669,-37.08188
50,51,2081,CAT 3,Cathedral College Wangaratta - Murdoch Road Campus,Independent,344 Wangaratta-Whitfield Road,Wangaratta,Wangaratta,North East,146.32991,-36.38595
51,52,576,CAT 3,Catholic Ladies' College Ltd,Catholic,19 Diamond Street,Eltham,Nillumbik,Central,145.14356,-37.71152
52,53,116,CAT 3,Cavendish Primary School,Government,8-10 Barker Street,Cavendish,Southern Grampians,South West,142.03989,-37.53087
53,54,1054,CAT 2,Chewton Primary School,Government,1 Hunter Street,Chewton,Mount Alexander,North Central,144.26116,-37.08233
54,55,327,CAT 3,Chiltern Primary School,Government,91-101 Albert Road,Chiltern,Indigo,North East,146.6066,-36.14707
55,56,1362,CAT 1,Christmas Hills Primary School,Government,1409 Eltham-yarra Glen Road,Christmas Hills,Nillumbik,Central,145.3042,-37.65352
56,57,3279,CAT 2,Chum Creek Primary School,Government,705 Chum Creek Road,Chum Creek,Yarra Ranges,Central,145.48925,-37.60596
57,58,3684,CAT 2,Clifton Creek Primary School,Government,1020 Deptford Road,Clifton Creek,East Gippsland,East Gippsland,147.65939,-37.70208
58,59,716,CAT 3,Coimadai Primary School,Government,86 Bennetts Lane,Coimadai,Moorabool,Central,144.47831,-37.61379
59,60,1136,CAT 3,Concongella Primary School,Government,61 Concongella School Road,Concongella,Northern Grampians,Wimmera,142.82232,-37.04956
60,61,4755,CAT 3,Cranbourne South Primary School,Government,Pearcedale Road,Cranbourne South,Casey,Central,145.24506,-38.14794
61,62,2041,CAT 3,Creswick North Primary School,Government,93 Macs Street,Creswick,Hepburn,Central,143.89082,-37.40884
62,63,3080,CAT 3,Crib Point Primary School,Government,70 Milne Street,Crib Point,Mornington Peninsula,Central,145.20054,-38.36048
63,64,3907,CAT 3,Currawa Primary School,Government,2 Ridge Road,Dookie Campus,Greater Shepparton,Northern Country,145.70379,-36.38475
64,65,265,CAT 3,Damascus College,Catholic,1412 Geelong Road,Mount Clear,Ballarat,Central,143.87035,-37.61146
65,66,878,CAT 3,Darraweit Guim Primary School,Government,2 Darraweit Valley Road,Darraweit Guim,Macedon Ranges,Central,144.89357,-37.40103
66,67,1035,CAT 3,Dartmoor Primary School,Government,76 Greenham Street,Dartmoor,Glenelg,South West,141.27673,-37.92302
67,68,1609,CAT 3,Daylesford Primary School,Government,102-128 Vincent Street,Daylesford,Hepburn,Central,144.14156,-37.3451
68,69,7115,CAT 3,Daylesford Secondary College,Government,39 Smith Street,Daylesford,Hepburn,Central,144.15185,-37.33467
69,70,1642,CAT 3,Deans Marsh Primary School,Government,30 Deans Marsh-Lorne Road,Deans Marsh,Surf Coast,Central,143.88575,-38.39988
70,71,1772,CAT 3,Dederang Primary School,Government,4364 Kiewa Valley Highway,Dederang,Alpine,North East,147.01531,-36.46925
71,72,5375,CAT 3,Derrinallum P-12 College,Government,Campbell Street,Derrinallum,Corangamite,South West,143.21674,-37.93959
72,73,5037,CAT 3,Diamond Creek East Primary School,Government,129-163 Main Hurstbridge Road,Diamond Creek,Nillumbik,Central,145.1656,-37.67419
73,74,1003,CAT 3,Diamond Creek Primary School,Government,17 Clyde Street,Diamond Creek,Nillumbik,Central,145.15165,-37.67185
74,75,8746,CAT 3,Diamond Valley College,Government,165-179 Main Hurstbridge Road,Diamond Creek,Nillumbik,Central,145.1674,-37.67283
75,76,5161,CAT 3,Diamond Valley Special Developmental School,Government,14-24 Brentwick Drive,Greensborough,Nillumbik,Central,145.11165,-37.68675
76,77,7770,CAT 3,Dimboola Memorial Secondary College,Government,66 Ellerman Street,Dimboola,Hindmarsh,Wimmera,142.03441,-36.44984
77,78,3956,CAT 3,Don Valley Primary School,Government,Old Dalry Road,Don Valley,Yarra Ranges,Central,145.58741,-37.7602
78,79,1724,CAT 3,Donvale Christian College,Independent,155 Tindals Road,Donvale,Manningham,Central,145.19345,-37.77403
79,80,945,CAT 3,Doreen Primary School,Government,75 Doctors Gully Road,Doreen,Nillumbik,Central,145.14554,-37.60601
80,81,7122,CAT 3,Dromana Secondary College,Government,110 Harrisons Road,Dromana,Mornington Peninsula,Central,145.01358,-38.34264
81,82,6215,CAT 3,Dunkeld Consolidated School,Government,93 Victoria Valley Road,Dunkeld,Southern Grampians,South West,142.34037,-37.63898
82,83,1582,CAT 3,Dunolly Primary School,Government,8 Elgin Street,Dunolly,Central Goldfields,North Central,143.73358,-36.85155
83,84,1428,CAT 2,Eaglehawk North Primary School,Government,1-9 Bendigo-Pyramid Road,Eaglehawk,Greater Bendigo,Northern Country,144.23727,-36.70707
84,85,7790,CAT 3,Eaglehawk Secondary College,Government,1-3 Reserve Street,Eaglehawk,Greater Bendigo,Northern Country,144.26163,-36.72006
85,86,1422,CAT 3,Edi Upper Primary School,Government,832 Edi-Cheshunt Road,Edi Upper,Wangaratta,North East,146.44881,-36.70647
86,87,2104,CAT 3,Edinburgh College,Independent,33-61 Edinburgh Road,Lilydale,Yarra Ranges,Central,145.92814,-38.15634
87,88,220,CAT 3,Elphinstone Primary School,Government,26 Wright Street,Elphinstone,Mount Alexander,North Central,144.3329,-37.105
88,89,1714,CAT 3,Eltham College - Main Campus,Independent,1660 Main Road,Research,Nillumbik,Central,145.19223,-37.70044
89,90,4212,CAT 3,Eltham North Primary School,Government,35-47 Wattletree Road,Eltham North,Nillumbik,Central,145.15087,-37.70011
90,91,209,CAT 3,Eltham Primary School,Government,Dalton Street,Eltham,Nillumbik,Central,145.1478,-37.72498
91,92,3381,CAT 3,Emerald Primary School,Government,10 Heroes Avenue,Emerald,Cardinia,Central,145.44243,-37.93338
92,93,8707,CAT 2,Emerald Secondary College,Government,425 Belgrave-gembrook Rd,Emerald,Cardinia,Central,145.45874,-37.92427
93,94,2048,CAT 3,Emmaus Catholic Primary School,Catholic,1503 Geelong Road,Mount Clear,Ballarat,Central,144.99611,-37.9221
94,95,1788,CAT 3,Eppalock Primary School,Government,149 Patons Road,Axe Creek,Greater Bendigo,Northern Country,144.38773,-36.84177
95,96,2367,CAT 3,Epsom Primary School,Government,Howard Street,Epsom,Greater Bendigo,Northern Country,144.31269,-36.70505
96,97,2318,CAT 3,Eskdale Primary School,Government,3790 Omeo Highway,Eskdale,Towong,North East,147.25125,-36.46527
97,98,5067,CAT 3,Falls Creek Primary School,Government,15 Slalom Street,Falls Creek,Unincorporated Vic,North East,147.27976,-36.86431
98,99,3228,CAT 2,Ferny Creek Primary School,Government,School Road,Ferny Creek,Yarra Ranges,Central,145.33473,-37.88421
99,100,3098,CAT 3,Flowerdale Primary School,Government,3377 Whittlesea Yea Road,Flowerdale,Murrindindi,North Central,145.29136,-37.31692
100,101,2708,CAT 2,Forrest Primary School,Government,10 Grant Street,Forrest,Colac-Otway,South West,143.71442,-38.51629
101,102,1988,CAT 3,Freshwater Creek Steiner School,Independent,52 McIntyres Road,Freshwater Creek,Surf Coast,Central,144.27974,-38.26332
102,103,2506,CAT 3,Gembrook Primary School,Government,50 Main Street,Gembrook,Cardinia,Central,145.54532,-37.95164
103,104,1856,CAT 3,Ghilgai School,Independent,295 Liverpool Road,Kilsyth,Yarra Ranges,Central,145.31893,-37.82914
104,105,1989,CAT 3,Gisborne Montessori School,Independent,57 Barringo Road,New Gisborne,Macedon Ranges,Central,144.60001,-37.45339
105,106,7857,CAT 3,Gisborne Secondary College,Government,95 Melton Road,Gisborne,Macedon Ranges,Central,144.58477,-37.49811
106,107,3982,CAT 3,Gladysdale Primary School,Government,550 Little Yarra Road,Gladysdale,Yarra Ranges,Central,145.65099,-37.82025
107,108,1135,CAT 3,Glen Park Primary School,Government,265 Ralstons Road,Glen Park,Moorabool,Central,143.9348,-37.52478
108,109,1742,CAT 3,Glenrowan Primary School,Government,40 Beaconsfield Parade,Glenrowan,Wangaratta,North East,146.22234,-36.46019
109,110,1598,CAT 3,Goornong Primary School,Government,26 Grant Street,Goornong,Greater Bendigo,Northern Country,144.50468,-36.617
110,111,5442,CAT 3,Gormandale And District Primary School,Government,38 Main Street,Gormandale,Wellington,West and South Gippsland,146.70321,-38.29418
111,112,860,CAT 3,Great Western Primary School,Government,Stephenson Street,Great Western,Northern Grampians,Wimmera,142.85173,-37.14851
112,113,5398,CAT 3,Greta Valley Primary School,Government,2376 Wangaratta Kilfeera Road,Greta South,Wangaratta,North East,146.23636,-36.61784
113,114,3058,CAT 2,Halls Gap Primary School,Government,10-14 School Road,Halls Gap,Northern Grampians,Wimmera,142.51743,-37.13748
114,115,5404,CAT 3,Harcourt Valley Primary School,Government,3 Wilkinson Street,Harcourt,Mount Alexander,North Central,144.25723,-37.00297
115,116,1697,CAT 2,Harkaway Primary School,Government,65-67 King Road,Harkaway,Casey,Central,145.34517,-38.00085
116,117,843,CAT 2,Harrietville Primary School,Government,165 Great Alpine Road,Harrietville,Alpine,North East,147.06494,-36.88771
117,118,1098,CAT 3,Hastings Primary School,Government,10 - 20 Hodgins Road,Hastings,Mornington Peninsula,Central,145.18947,-38.2997
118,119,5434,CAT 3,Hawkesdale P12 College,Government,65 Mitchell Street,Hawkesdale,Moyne,South West,142.31917,-38.10698
119,120,7900,CAT 3,Healesville High School,Government,10 Camerons Road,Healesville,Yarra Ranges,Central,145.53081,-37.64359
120,121,849,CAT 3,Healesville Primary School,Government,2 View Street,Healesville,Yarra Ranges,Central,145.51604,-37.65713
121,122,300,CAT 3,Heathcote Primary School,Government,31 Herriot Street,Heathcote,Greater Bendigo,Northern Country,144.70685,-36.92401
122,123,767,CAT 3,Hepburn Primary School,Government,156 Main Road,Hepburn,Hepburn,Central,144.13276,-37.30972
123,124,1004,CAT 2,Hesket Primary School,Government,800 Romsey Road,Hesket,Macedon Ranges,Central,144.61978,-37.34781
124,125,6225,CAT 3,Heywood Consolidated School,Government,51 Kentbruck Road,Heywood,Glenelg,South West,141.61292,-38.12752
125,126,7910,CAT 3,Heywood District Secondary College,Government,Gorrie Street,Heywood,Glenelg,South West,141.6205,-38.12927
126,127,2541,CAT 3,Hoddles Creek Primary School,Government,700 Gembrook-Launching Place Road,Hoddles Creek,Yarra Ranges,Central,145.59775,-37.83174
127,128,1955,CAT 3,Holy Cross Primary School,Catholic,158 Hamilton Road,New Gisborne,Macedon Ranges,Central,144.59778,-37.45589
128,129,1252,CAT 3,Holy Rosary School,Catholic,18 Pohlman Street,Heathcote,Greater Bendigo,Northern Country,144.97303,-37.79106
129,130,306,CAT 3,Huntly Primary School,Government,101 Brunel Street,Huntly,Greater Bendigo,Northern Country,144.3344,-36.66254
130,131,3939,CAT 3,Hurstbridge Primary School,Government,961-989 Heidelberg-Kinglake Rd,Hurstbridge,Nillumbik,Central,145.19812,-37.6359
131,132,1052,CAT 3,Inglewood Primary School,Government,77 Sullivan Street,Inglewood,Loddon,Northern Country,143.87045,-36.57394
132,133,882,CAT 3,Invermay Primary School,Government,187 Swinglers Road,Invermay,Ballarat,Central,143.87458,-37.52053
133,134,814,CAT 2,Jamieson Primary School,Government,1 The Sideling,Jamieson,Mansfield,North East,146.14,-37.30126
134,135,1951,CAT 3,Jindivick Primary School,Government,1080 Jacksons Track,Jindivick,Baw Baw,Central,145.90113,-38.02762
135,136,4728,CAT 3,Kalianna Special School,Government,Nolan Street,Bendigo,Greater Bendigo,Northern Country,144.27865,-36.73783
136,137,3993,CAT 2,Kallista Primary School,Government,72 Monbulk Road,Kallista,Yarra Ranges,Central,145.37,-37.88509
137,138,2105,CAT 3,Kangaroo Ground Primary School,Government,Cr Graham&Eltham-Yarra Glen Rd,Kangaroo Ground,Nillumbik,Central,145.21466,-37.69174
138,139,2188,CAT 2,Kinglake Primary School,Government,20 Mcmahons Rd,Kinglake,Murrindindi,North Central,145.35664,-37.52157
139,140,3255,CAT 2,Kinglake West Primary School,Government,1041-1061 Whittlesea-Kinglake Rd,Kinglake West,Murrindindi,North Central,145.2596,-37.4813
140,141,2265,CAT 3,Koondrook Primary School,Government,9 Punt Road,Koondrook,Gannawarra,Mallee,144.12987,-35.63487
141,142,3470,CAT 3,Koorlong Primary School,Government,3645 Benetook Avenue,Koorlong,Mildura,Mallee,142.08485,-34.27806
142,143,2471,CAT 3,Labertouche Primary School,Government,35 School Road,Labertouche,Baw Baw,Central,145.80494,-38.03767
143,144,2805,CAT 3,Laharum Primary School,Government,1574 Northern Grampians Road,Laharum,Horsham,Wimmera,142.32331,-36.94535
144,145,863,CAT 3,Lal Lal Primary School,Government,12 Vaughan Street,Lal Lal,Moorabool,Central,144.01071,-37.67672
145,146,707,CAT 3,Lancefield Primary School,Government,80 High Street,Lancefield,Macedon Ranges,Central,144.72642,-37.27495
146,147,1275,CAT 3,Langley Primary School,Government,Crn Kyneton/Heathcote & Parsells Rd,Langley,Mount Alexander,North Central,144.48966,-37.17118
147,148,2599,CAT 3,Launching Place Primary School,Government,Carter Street,Launching Place,Yarra Ranges,Central,145.57077,-37.7825
148,149,6231,CAT 1,Lavers Hill K-12 College,Government,Great Ocean Road,Lavers Hill,Colac-Otway,South West,143.38305,-38.68184
149,150,1721,CAT 3,Learning Co-Operative School,Independent,10 Laceys Road,Hurstbridge,Nillumbik,Central,145.21333,-37.62939
150,151,5541,CAT 3,Lightning Reef Primary School,Government,74 Holmes Road,Bendigo,Greater Bendigo,Northern Country,144.26844,-36.73692
151,152,880,CAT 2,Linton Primary School,Government,28 Adair Street,Linton,Golden Plains,Central,143.56131,-37.68407
152,153,2093,CAT 2,Little Bendigo Primary School,Government,8 Monte Street,Nerrina,Ballarat,Central,143.89506,-37.5429
153,154,1914,CAT 3,Little Yarra Steiner School,Independent,205 Little Yarra Road,Yarra Junction,Yarra Ranges,Central,145.63116,-37.79444
154,155,5245,CAT 3,Loch Sport Primary School,Government,7 Charlies Street,Loch Sport,Wellington,West and South Gippsland,147.56717,-38.05819
155,156,744,CAT 3,Lockwood Primary School,Government,190 Wiegards Road,Lockwood,Greater Bendigo,Northern Country,144.16156,-36.80258
156,157,385,CAT 3,Lockwood South Primary School,Government,710 Calder Alternative Highway,Lockwood South,Greater Bendigo,Northern Country,144.15675,-36.8416
157,158,1694,CAT 3,Longford Primary School,Government,6380 South Gippsland Highway,Longford,Wellington,West and South Gippsland,147.08841,-38.16956
158,159,2707,CAT 3,Longwood Primary School,Government,1-21 Hurley Street,Longwood,Strathbogie,Northern Country,145.42206,-36.80793
159,160,7997,CAT 3,Lorne P-12 College,Government,15 Grove Road,Lorne,Surf Coast,Central,143.97389,-38.53918
160,161,1571,CAT 3,Macarthur Primary School,Government,23 Russell Street,Macarthur,Moyne,South West,142.00147,-38.03088
161,162,3620,CAT 3,Macclesfield Primary School,Government,405 Macclesfield Road,Macclesfield,Yarra Ranges,Central,145.47537,-37.88979
162,163,1660,CAT 2,Macedon Primary School,Government,67 Smith Street,Macedon,Macedon Ranges,Central,144.56268,-37.41869
163,164,1592,CAT 3,Maiden Gully Primary School,Government,10 Carolyn Way,Maiden Gully,Greater Bendigo,Northern Country,144.2097,-36.74419
164,165,1254,CAT 3,Maldon Primary School,Government,109 High Street,Maldon,Mount Alexander,North Central,144.06581,-36.99504
165,166,3515,CAT 3,Mallacoota P-12 College,Government,25 Bucknall Street,Mallacoota,East Gippsland,East Gippsland,149.7543,-37.55943
166,167,1408,CAT 3,Malmsbury Primary School,Government,28 Cameron Street,Malmsbury,Macedon Ranges,Central,144.38694,-37.18732
167,168,6235,CAT 3,Manangatang P-12 College,Government,4105 Mallee Highway,Manangatang,Swan Hill,Mallee,142.88488,-35.05623
168,169,2098,CAT 3,Marist College Bendigo,Catholic,95 Golf Links Road,Maiden Gully,Greater Bendigo,Northern Country,144.22169,-36.73171
169,170,3433,CAT 3,Marlo Primary School,Government,Jorgensen Street,Marlo,East Gippsland,East Gippsland,148.53504,-37.79627
170,171,1554,CAT 3,Marnoo Primary School,Government,80 Newall Street,Marnoo,Northern Grampians,Wimmera,142.87035,-36.67685
171,172,400,CAT 3,Marong Primary School,Government,2 Leslie Street,Marong,Greater Bendigo,Northern Country,144.13537,-36.73568
172,173,1943,CAT 3,Maroona Primary School,Government,7431 Mortlake-ararat Road,Maroona,Ararat,South West,142.85847,-37.4328
173,174,1273,CAT 3,Marysville Primary School,Government,15 Falls Road,Marysville,Murrindindi,North Central,145.74894,-37.51198
174,175,1644,CAT 3,Mater Christi College,Catholic,28 Bayview Road,Belgrave,Yarra Ranges,Central,145.35889,-37.91064
175,176,2457,CAT 3,Menzies Creek Primary School,Government,12 School Road,Menzies Creek,Yarra Ranges,Central,145.39427,-37.91735
176,177,6237,CAT 3,Merino Consolidated School,Government,49 Paschendale Road,Merino,Glenelg,South West,141.54831,-37.70637
177,178,1379,CAT 3,Merrijig Primary School,Government,1820 Mount Buller Road,Merrijig,Mansfield,North East,146.25688,-37.1028
178,179,3050,CAT 2,Metung Primary School,Government,90 Stirling Road,Metung,East Gippsland,East Gippsland,147.85246,-37.88296
179,180,1115,CAT 3,Middle Indigo Primary School,Government,710 Indigo Creek Road,Indigo Valley,Indigo,North East,146.72484,-36.15601
180,181,3315,CAT 2,Middle Kinglake Primary School,Government,69 Extons Road,Kinglake Central,Murrindindi,North Central,145.31568,-37.50521
181,182,5441,CAT 3,Millwarra Primary School - Millgrove Campus,Government,Cavanagh Road,Millgrove,Yarra Ranges,Central,145.65186,-37.75279
182,183,2383,CAT 3,Mirboo North Primary School,Government,Balook Street,Mirboo North,South Gippsland,West and South Gippsland,146.15109,-38.40049
183,184,8050,CAT 3,Mirboo North Secondary College,Government,Castle Street,Mirboo North,South Gippsland,West and South Gippsland,146.14882,-38.40018
184,185,887,CAT 2,Mitta Mitta Primary School,Government,27 Giltrap Road,Mitta Mitta,Towong,North East,147.37948,-36.53341
185,186,8065,CAT 2,Monbulk College,Government,146-148 David Hill Road,Monbulk,Yarra Ranges,Central,145.42781,-37.88318
186,187,3265,CAT 3,Monbulk Primary School,Government,1 Main Road,Monbulk,Yarra Ranges,Central,145.41026,-37.87685
187,188,2259,CAT 3,Montrose Primary School,Government,17-21 Leith Road,Montrose,Yarra Ranges,Central,145.34369,-37.8081
188,189,1612,CAT 3,Mooroopna North Primary School,Government,835 Ardmona Road,Mooroopna,Greater Shepparton,Northern Country,145.29849,-36.32914
189,190,5376,CAT 3,Mortlake P-12 College,Government,10 Hood Avenue,Mortlake,Moyne,South West,142.80955,-38.08637
190,191,4644,CAT 3,Mount Beauty Primary School,Government,Lakeside Avenue,Mount Beauty,Alpine,North East,147.17159,-36.7395
191,192,8100,CAT 3,Mount Beauty Secondary College,Government,Tailrace Road,Mount Beauty,Alpine,North East,147.16728,-36.74031
192,193,7267,CAT 3,Mount Clear College,Government,59 Olympic Avenue,Mount Clear,Ballarat,Central,143.87667,-37.60796
193,194,427,CAT 3,Mount Clear Primary School,Government,1206 Geelong Road,Mount Clear,Ballarat,Central,143.86837,-37.60474
194,195,3284,CAT 2,Mount Dandenong Primary School,Government,Farndons Road,Mount Dandenong,Yarra Ranges,Central,145.36217,-37.83074
195,196,1918,CAT 3,Mount Egerton Primary School,Government,58 Church Street,Mount Egerton,Moorabool,Central,144.10217,-37.62852
196,197,5140,CAT 3,Mount Eliza North Primary School,Government,6 Moseley Drive,Mount Eliza,Mornington Peninsula,Central,145.10054,-38.1884
197,198,1701,CAT 3,Mount Evelyn Christian School/Ranges TEC,Independent,135 York Road,Mount Evelyn,Yarra Ranges,Central,145.3671,-37.79883
198,199,3642,CAT 3,Mount Evelyn Primary School,Government,33 Monbulk Road,Mount Evelyn,Yarra Ranges,Central,145.38882,-37.79093
199,200,415,CAT 1,Mount Macedon Primary School,Government,641 Mount Macedon Road,Mount Macedon,Macedon Ranges,Central,144.58413,-37.40479
200,201,5171,CAT 3,Mount Martha Primary School,Government,37 - 55 Glenisla Drive,Mount Martha,Mornington Peninsula,Central,145.01373,-38.27556
201,202,1263,CAT 3,Moyston Primary School,Government,1349 Ararat-Halls Gap Road,Moyston,Ararat,South West,142.76785,-37.30166
202,203,5433,CAT 3,Murrayville Community College,Government,20 Francis Street,Murrayville,Mildura,Mallee,141.17734,-35.26557
203,204,2677,CAT 1,Myrrhee Primary School,Government,1673 Benalla-whitfield Road,Myrrhee,Wangaratta,North East,146.31825,-36.73819
204,205,5402,CAT 3,Nangiloc Colignan and District Primary School,Government,2612 Kulkyne Way,Nangiloc,Mildura,Mallee,142.35779,-34.47385
205,206,2295,CAT 3,Narracan Primary School,Government,32 School Road,Narracan,Baw Baw,Central,146.23163,-38.26158
206,207,1330,CAT 3,Navarre Primary School,Government,High Street,Navarre,Northern Grampians,Wimmera,143.11134,-36.90074
207,208,1913,CAT 3,Newham Primary School,Government,1271 Rochford Road,Newham,Macedon Ranges,Central,144.59476,-37.31215
208,209,2930,CAT 3,Newmerella Primary School,Government,2-4 McLaughlins Road,Newmerella,East Gippsland,East Gippsland,148.434,-37.73547
209,210,452,CAT 3,Newstead Primary School,Government,28 Lyons Street,Newstead,Mount Alexander,North Central,144.06719,-37.10592
210,211,1716,CAT 3,Nicholson Primary School,Government,Princes Highway,Nicholson,East Gippsland,East Gippsland,147.74791,-37.81578
211,212,4226,CAT 2,Nungurner Primary School,Government,455 Nungurner Road,Nungurner,East Gippsland,East Gippsland,147.88839,-37.86592
